start_location,end_location,time_road
AT21,AT11,6
AT21,AT12,7
AT21,AT13,7
AT21,AT21,2
AT21,AT22,4
AT21,AT31,6
AT21,AT32,5
AT21,AT33,7
AT21,AT34,9
AT21,BE10,17
AT21,BE21,16
AT21,BE22,16
AT21,BE23,17
AT21,BE24,16
AT21,BE25,18
AT21,BE31,16
AT21,BE32,17
AT21,BE33,15
AT21,BE34,15
AT21,BE35,16
AT21,BG31,17
AT21,BG32,20
AT21,BG33,23
AT21,BG34,20
AT21,BG41,17
AT21,BG42,19
AT21,CY00,42
AT21,CZ01,11
AT21,CZ02,11
AT21,CZ03,9
AT21,CZ04,12
AT21,CZ05,12
AT21,CZ06,9
AT21,CZ07,10
AT21,CZ08,11
AT21,DE11,10
AT21,DE12,11
AT21,DE13,12
AT21,DE14,10
AT21,DE21,7
AT21,DE22,7
AT21,DE23,8
AT21,DE24,10
AT21,DE25,9
AT21,DE26,10
AT21,DE27,8
AT21,DE30,15
AT21,DE40,15
AT21,DE50,16
AT21,DE60,17
AT21,DE71,12
AT21,DE72,13
AT21,DE73,13
AT21,DE80,17
AT21,DE91,14
AT21,DE92,15
AT21,DE93,17
AT21,DE94,17
AT21,DEA1,15
AT21,DEA2,14
AT21,DEA3,15
AT21,DEA4,15
AT21,DEA5,15
AT21,DEB1,13
AT21,DEB2,14
AT21,DEB3,12
AT21,DEC0,13
AT21,DED2,13
AT21,DED4,12
AT21,DED5,12
AT21,DEE0,13
AT21,DEF0,18
AT21,DEG0,12
AT21,DK01,22
AT21,DK02,22
AT21,DK03,20
AT21,DK04,21
AT21,DK05,23
AT21,EE00,35
AT21,EL11,20
AT21,EL12,18
AT21,EL13,19
AT21,EL14,20
AT21,EL21,21
AT21,EL22,25
AT21,EL23,23
AT21,EL24,22
AT21,EL25,26
AT21,EL30,24
AT21,EL41,31
AT21,EL42,33
AT21,EL43,39
AT21,ES11,29
AT21,ES12,25
AT21,ES13,23
AT21,ES21,21
AT21,ES22,22
AT21,ES23,23
AT21,ES24,21
AT21,ES30,26
AT21,ES41,25
AT21,ES42,26
AT21,ES43,30
AT21,ES51,18
AT21,ES52,23
AT21,ES53,28
AT21,ES61,30
AT21,ES62,25
AT21,ES63,35
AT21,ES64,36
AT21,ES70,86
AT21,FI19,43
AT21,FI1B,40
AT21,FI1C,41
AT21,FI1D,45
AT21,FI20,35
AT21,FR10,18
AT21,FR21,16
AT21,FR22,18
AT21,FR23,19
AT21,FR24,18
AT21,FR25,21
AT21,FR26,14
AT21,FR30,18
AT21,FR41,14
AT21,FR42,12
AT21,FR43,14
AT21,FR51,21
AT21,FR52,23
AT21,FR53,19
AT21,FR61,19
AT21,FR62,17
AT21,FR63,16
AT21,FR71,11
AT21,FR72,14
AT21,FR81,14
AT21,FR82,11
AT21,FR83,16
AT21,HR03,8
AT21,HR04,6
AT21,HU10,9
AT21,HU21,8
AT21,HU22,7
AT21,HU23,8
AT21,HU31,11
AT21,HU32,12
AT21,HU33,12
AT21,IE01,35
AT21,IE02,34
AT21,ITC1,8
AT21,ITC2,8
AT21,ITC3,8
AT21,ITC4,7
AT21,ITF1,9
AT21,ITF2,11
AT21,ITF3,11
AT21,ITF4,13
AT21,ITF5,13
AT21,ITF6,16
AT21,ITG1,21
AT21,ITG2,24
AT21,ITH1,7
AT21,ITH2,7
AT21,ITH3,4
AT21,ITH4,3
AT21,ITH5,6
AT21,ITI1,7
AT21,ITI2,8
AT21,ITI3,8
AT21,ITI4,9
AT21,LT00,27
AT21,LU00,14
