start_location,end_location,total_cost
AT13,DEA4,1397
AT13,DEA5,1449
AT13,DEB1,1301
AT13,DEB2,1400
AT13,DEB3,1194
AT13,DEC0,1321
AT13,DED2,773
AT13,DED4,825
AT13,DED5,892
AT13,DEE0,1018
AT13,DEF0,1562
AT13,DEG0,1054
AT13,DK01,2189
AT13,DK02,2136
AT13,DK03,1992
AT13,DK04,2102
AT13,DK05,2236
AT13,EE00,1938
AT13,EL11,2008
AT13,EL12,1861
AT13,EL13,1960
AT13,EL14,2062
AT13,EL21,2119
AT13,EL22,2513
AT13,EL23,2372
AT13,EL24,2267
AT13,EL25,2596
AT13,EL30,2486
AT13,EL41,2906
AT13,EL42,3375
AT13,EL43,3694
AT13,ES11,3735
AT13,ES12,3445
AT13,ES13,3294
AT13,ES21,3117
AT13,ES22,3134
AT13,ES23,3179
AT13,ES24,3222
AT13,ES30,3583
AT13,ES41,3324
AT13,ES42,3626
AT13,ES43,3802
AT13,ES51,2989
AT13,ES52,3620
AT13,ES53,4097
AT13,ES61,4097
AT13,ES62,3685
AT13,ES63,4528
AT13,ES64,4829
AT13,ES70,9281
AT13,FI19,3217
AT13,FI1B,2952
AT13,FI1C,3121
AT13,FI1D,3598
AT13,FI20,3372
AT13,FR10,2133
AT13,FR21,1639
AT13,FR22,2014
AT13,FR23,2302
AT13,FR24,2284
AT13,FR25,2533
AT13,FR26,1963
AT13,FR30,1898
AT13,FR41,1443
AT13,FR42,1342
AT13,FR43,1608
AT13,FR51,2835
AT13,FR52,2953
AT13,FR53,2645
AT13,FR61,2797
AT13,FR62,2923
AT13,FR63,2393
AT13,FR71,2083
AT13,FR72,2254
AT13,FR81,2581
AT13,FR82,2158
AT13,FR83,2356
AT13,HR03,919
AT13,HR04,557
AT13,HU10,508
AT13,HU21,356
AT13,HU22,227
AT13,HU23,490
AT13,HU31,662
AT13,HU32,817
AT13,HU33,710
AT13,IE01,3766
AT13,IE02,3631
AT13,ITC1,1601
AT13,ITC2,1624
AT13,ITC3,1676
AT13,ITC4,1374
AT13,ITF1,1803
AT13,ITF2,2037
AT13,ITF3,2197
AT13,ITF4,2343
AT13,ITF5,2385
AT13,ITF6,2755
AT13,ITG1,3254
AT13,ITG2,2945
AT13,ITH1,997
AT13,ITH2,1145
AT13,ITH3,1073
AT13,ITH4,798
AT13,ITH5,1302
AT13,ITI1,1436
AT13,ITI2,1494
AT13,ITI3,1608
AT13,ITI4,1854
AT13,LT00,1399
AT13,LU00,1505
AT13,LV00,1621
AT13,MT00,3732
AT13,NL11,1728
AT13,NL12,1815
AT13,NL13,1740
AT13,NL21,1692
AT13,NL22,1735
AT13,NL23,1846
AT13,NL31,1850
AT13,NL32,1908
AT13,NL33,1889
AT13,NL34,1888
AT13,NL41,1732
AT13,NL42,1609
AT13,PL11,768
AT13,PL12,906
AT13,PL21,618
AT13,PL22,495
AT13,PL31,1010
AT13,PL32,866
AT13,PL33,732
AT13,PL34,1093
AT13,PL41,818
AT13,PL42,1181
AT13,PL43,855
AT13,PL51,596
AT13,PL52,543
AT13,PL61,1017
AT13,PL62,1194
AT13,PL63,1267
AT13,PT11,3760
AT13,PT15,4218
AT13,PT16,3819
AT13,PT17,4084
AT13,PT18,3919
AT13,PT20,10024
AT13,PT30,7773
AT13,RO11,946
AT13,RO12,1172
AT13,RO21,1401
AT13,RO22,1568
AT13,RO31,1378
AT13,RO32,1428
AT13,RO41,1241
AT13,RO42,1004
AT13,SE11,2883
AT13,SE12,2815
AT13,SE21,2565
AT13,SE22,2224
AT13,SE23,2582
AT13,SE31,2945
AT13,SE32,3374
AT13,SE33,3876
AT13,SI01,451
AT13,SI02,609
AT13,SK01,145
AT13,SK02,269
AT13,SK03,421
AT13,SK04,676
AT13,UKC1,2904
AT13,UKC2,2933
AT13,UKD1,2983
AT13,UKD3,2842
AT13,UKD4,2907
AT13,UKD6,2799
AT13,UKD7,2869
AT13,UKE1,2783
AT13,UKE2,2869
AT13,UKE3,2765
AT13,UKE4,2850
AT13,UKF1,2726
AT13,UKF2,2616
AT13,UKF3,2705
AT13,UKG1,2698
AT13,UKG2,2751
AT13,UKG3,2718
AT13,UKH1,2610
AT13,UKH2,2559
AT13,UKH3,2512
AT13,UKI1,2599
AT13,UKI2,2587
AT13,UKJ1,2617
AT13,UKJ2,2547
AT13,UKJ3,2642
AT13,UKJ4,2464
AT13,UKK1,2698
AT13,UKK2,2694
AT13,UKK3,2930
AT13,UKK4,2804
AT13,UKL1,2854
AT13,UKL2,2774
AT13,UKM2,3239
AT13,UKM3,3185
AT13,UKM5,3439
AT13,UKM6,3471
AT13,UKN0,3710
AT21,AT11,505
AT21,AT12,579
AT21,AT13,575
AT21,AT21,108
AT21,AT22,328
AT21,AT31,478
AT21,AT32,404
AT21,AT33,586
AT21,AT34,893
AT21,BE10,1663
AT21,BE21,1751
AT21,BE22,1649
AT21,BE23,1792
AT21,BE24,1723
AT21,BE25,1877
AT21,BE31,1657
AT21,BE32,1704
AT21,BE33,1599
AT21,BE34,1488
AT21,BE35,1614
AT21,BG31,1463
AT21,BG32,1639
AT21,BG33,1769
AT21,BG34,1646
AT21,BG41,1446
AT21,BG42,1574
AT21,CY00,3739
AT21,CZ01,726
AT21,CZ02,744
